GROUP,Conditions,sub_ID,Hemisphere,Tchannel,Tvalues,Pchannel,Pvalues,Fchannel,Fvalues,AGchannel,AGvalues
CI_T0,aspeech,,L,CH2,-0.014276714,CH3,-0.180071459,CH1,-0.020903567,CH7,-0.105036561
CI_T0,aspeech,,L,CH2,-0.094548758,CH3,,CH1,-0.406083706,CH7,-0.121424451
CI_T0,aspeech,,L,CH2,0.066135861,CH3,0.037814838,CH1,0.027041484,CH7,0.038722734
CI_T0,aspeech,,L,CH2,-0.317474307,CH3,-0.189729913,CH1,-0.171627482,CH7,-0.320474101
CI_T0,aspeech,,L,CH2,-0.112663341,CH3,-0.200935127,CH1,-0.420830035,CH7,-0.320512973
CI_T0,aspeech,,L,CH2,-0.095655533,CH3,-0.10054815,CH1,0.074955201,CH7,-0.087822529
CI_T0,aspeech,,L,CH2,-0.148276551,CH3,-0.117721357,CH1,-0.137236217,CH7,-0.200279044
CI_T0,aspeech,,L,CH2,0.049425439,CH3,0.055772764,CH1,,CH7,0.086131815
CI_T0,aspeech,,L,CH2,-0.088687975,CH3,-0.069494766,CH1,0.087329163,CH7,0.018252967
CI_T0,aspeech,,L,CH2,0.234028307,CH3,0.048421291,CH1,0.031449168,CH7,-0.550866718
CI_T0,aspeech,,L,CH2,0.170898218,CH3,0.178846264,CH1,-0.000459915,CH7,-0.104561187
CI_T0,aspeech,,L,CH2,0.416579908,CH3,,CH1,,CH7,-0.003563021
CI_T0,aspeech,,L,CH2,0.16357876,CH3,,CH1,0.899699517,CH7,-0.242906709
CI_T0,aspeech,,L,CH2,0.084498054,CH3,0.111295056,CH1,,CH7,-0.04716781
CI_T0,aspeech,,L,CH2,0.282513678,CH3,-0.023379968,CH1,,CH7,
CI_T0,aspeech,,L,CH2,0.030714344,CH3,0.041390155,CH1,,CH7,0.143179928
CI_T0,aspeech,,L,CH2,0.079191647,CH3,0.056813623,CH1,0.340601733,CH7,0.247221312
CI_T0,aspeech,,L,CH2,0.024934501,CH3,0.082287975,CH1,0.394812813,CH7,0.07603974
CI_T0,aspeech,,L,CH2,0.031045174,CH3,0.209386514,CH1,0.06341065,CH7,-0.017420372
CI_T0,aspeech,,L,CH2,-0.018234456,CH3,-0.042632563,CH1,0.205715744,CH7,0.005343974
CI_T0,aspeech,,L,CH2,-0.113624302,CH3,-0.046630975,CH1,0.015759223,CH7,0.023595991
CI_T0,aspeech,,L,CH2,0.047353579,CH3,-0.227283279,CH1,-0.164144377,CH7,
CI_T0,aspeech,,L,CH2,0.04945325,CH3,0.159134641,CH1,0.09135895,CH7,-0.199092368
CI_T0,aspeech,,L,CH2,0.43297298,CH3,0.061781028,CH1,-0.17561779,CH7,0.12972851
CI_T0,aspeech,,L,CH2,-0.042083628,CH3,,CH1,-0.193370964,CH7,-0.128086617
CI_T0,aspeech,,L,CH2,-0.027756364,CH3,0.018679628,CH1,0.21657723,CH7,
CI_T0,aspeech,,L,CH2,0.510548959,CH3,-0.100138571,CH1,0.257346266,CH7,-0.006903376
CI_T0,aspeech,,L,CH2,-0.198147982,CH3,-0.122777198,CH1,,CH7,0.005484824
CI_T0,aspeech,,L,CH2,-0.040245626,CH3,0.087573626,CH1,,CH7,-0.022084867
CI_T0,aspeech,,L,CH2,-0.081064526,CH3,-0.041396935,CH1,-0.095185637,CH7,0.034882594
CI_T0,babble,,L,CH2,-0.081844754,CH3,0.028735293,CH1,-0.046720847,CH7,-0.036248659
CI_T0,babble,,L,CH2,0.155077958,CH3,,CH1,0.025419354,CH7,0.059784474
CI_T0,babble,,L,CH2,0.035031399,CH3,0.119894486,CH1,-0.129466529,CH7,-0.013069624
CI_T0,babble,,L,CH2,0.12049165,CH3,0.043721955,CH1,0.270633578,CH7,0.199475304
CI_T0,babble,,L,CH2,0.076790287,CH3,-0.077722539,CH1,0.041739428,CH7,-0.0721638
CI_T0,babble,,L,CH2,0.026390124,CH3,-0.008971885,CH1,0.045053379,CH7,-0.07709612
CI_T0,babble,,L,CH2,0.007686442,CH3,0.064477667,CH1,0.058305997,CH7,0.084892234
CI_T0,babble,,L,CH2,0.124926863,CH3,0.45417235,CH1,,CH7,0.07980872
CI_T0,babble,,L,CH2,0.124792594,CH3,-0.094528265,CH1,-0.022124646,CH7,0.034109574
CI_T0,babble,,L,CH2,-0.245429056,CH3,0.000430834,CH1,-0.058917739,CH7,-0.157571101
CI_T0,babble,,L,CH2,0.080025848,CH3,0.014429759,CH1,0.018409019,CH7,0.184325619
CI_T0,babble,,L,CH2,0.197905222,CH3,,CH1,,CH7,-0.064033652
CI_T0,babble,,L,CH2,-0.193178088,CH3,,CH1,0.258093652,CH7,-0.002302042
CI_T0,babble,,L,CH2,0.122238783,CH3,-0.18016181,CH1,,CH7,0.020438566
CI_T0,babble,,L,CH2,-0.222654913,CH3,0.737661895,CH1,,CH7,
CI_T0,babble,,L,CH2,-0.254294111,CH3,-0.144382511,CH1,,CH7,0.081002458
CI_T0,babble,,L,CH2,0.03223422,CH3,-0.181272797,CH1,0.165404588,CH7,-0.027575779
CI_T0,babble,,L,CH2,-0.093758595,CH3,-0.106894026,CH1,-0.007382316,CH7,0.107152436
CI_T0,babble,,L,CH2,0.079207544,CH3,0.170288596,CH1,0.294688453,CH7,0.045351696
CI_T0,babble,,L,CH2,-0.032956527,CH3,-0.000761569,CH1,-0.167490149,CH7,-0.081534689
CI_T0,babble,,L,CH2,0.155372528,CH3,0.137745708,CH1,0.189086374,CH7,0.098849774
CI_T0,babble,,L,CH2,-0.052775807,CH3,-0.120475091,CH1,-0.173212674,CH7,
CI_T0,babble,,L,CH2,-0.013001769,CH3,-0.057184233,CH1,-0.231453833,CH7,-0.207226726
CI_T0,babble,,L,CH2,0.009084945,CH3,0.095915154,CH1,-0.252831056,CH7,-0.187193974
CI_T0,babble,,L,CH2,0.313888995,CH3,,CH1,-0.190937093,CH7,0.258974806
